12:28:08 -> lat:40.2327856, lon:29.0090959, alt:3.0, spd:0.110, btr:44, hea:65, mod:GUIDED, arm:Armed
12:28:09 -> lat:40.2327872, lon:29.0090949, alt:3.0, spd:0.440, btr:44, hea:46, mod:GUIDED, arm:Armed
12:28:09 -> lat:40.2327906, lon:29.0090925, alt:3.0, spd:0.970, btr:43, hea:27, mod:GUIDED, arm:Armed
12:28:10 -> lat:40.2327953, lon:29.0090892, alt:3.0, spd:1.330, btr:43, hea:358, mod:GUIDED, arm:Armed
12:28:10 -> lat:40.2328013, lon:29.0090853, alt:3.0, spd:1.700, btr:43, hea:339, mod:GUIDED, arm:Armed
12:28:11 -> lat:40.2328086, lon:29.0090809, alt:2.99, spd:1.900, btr:43, hea:332, mod:GUIDED, arm:Armed
12:28:11 -> lat:40.2328169, lon:29.0090765, alt:2.99, spd:2.090, btr:43, hea:336, mod:GUIDED, arm:Armed
12:28:12 -> lat:40.232826, lon:29.0090724, alt:2.99, spd:2.200, btr:43, hea:337, mod:GUIDED, arm:Armed
12:28:12 -> lat:40.2328356, lon:29.0090679, alt:2.99, spd:2.310, btr:43, hea:336, mod:GUIDED, arm:Armed
12:28:13 -> lat:40.2328454, lon:29.0090628, alt:2.99, spd:2.320, btr:43, hea:336, mod:GUIDED, arm:Armed
12:28:13 -> lat:40.2328547, lon:29.0090577, alt:2.99, spd:2.180, btr:43, hea:337, mod:GUIDED, arm:Armed
12:28:14 -> lat:40.2328628, lon:29.0090532, alt:2.99, spd:1.790, btr:43, hea:336, mod:GUIDED, arm:Armed
12:28:14 -> lat:40.2328694, lon:29.0090495, alt:2.99, spd:1.500, btr:42, hea:336, mod:GUIDED, arm:Armed
12:28:15 -> lat:40.2328744, lon:29.0090466, alt:2.99, spd:1.200, btr:42, hea:330, mod:GUIDED, arm:Armed
12:28:15 -> lat:40.2328778, lon:29.0090446, alt:2.99, spd:0.730, btr:42, hea:313, mod:GUIDED, arm:Armed
12:28:16 -> lat:40.2328801, lon:29.0090434, alt:2.99, spd:0.540, btr:42, hea:294, mod:GUIDED, arm:Armed
12:28:16 -> lat:40.2328817, lon:29.0090424, alt:2.99, spd:0.390, btr:42, hea:275, mod:GUIDED, arm:Armed
12:28:17 -> lat:40.2328829, lon:29.0090415, alt:2.99, spd:0.310, btr:42, hea:261, mod:GUIDED, arm:Armed
12:28:17 -> lat:40.2328837, lon:29.0090409, alt:2.99, spd:0.230, btr:42, hea:263, mod:GUIDED, arm:Armed
12:28:18 -> lat:40.2328841, lon:29.0090406, alt:2.99, spd:0.100, btr:42, hea:265, mod:GUIDED, arm:Armed
12:28:18 -> lat:40.2328841, lon:29.0090405, alt:2.99, spd:0.030, btr:42, hea:263, mod:GUIDED, arm:Armed
12:28:19 -> lat:40.2328839, lon:29.0090406, alt:2.99, spd:0.080, btr:41, hea:263, mod:GUIDED, arm:Armed
12:28:19 -> lat:40.2328835, lon:29.0090407, alt:3.0, spd:0.090, btr:41, hea:264, mod:GUIDED, arm:Armed
12:28:20 -> lat:40.2328835, lon:29.0090407, alt:3.0, spd:0.100, btr:41, hea:264, mod:GUIDED, arm:Armed
12:28:20 -> lat:40.232883, lon:29.0090407, alt:2.95, spd:0.110, btr:41, hea:266, mod:GUIDED, arm:Armed
12:28:21 -> lat:40.232883, lon:29.0090407, alt:2.95, spd:0.110, btr:41, hea:267, mod:GUIDED, arm:Armed
12:28:21 -> lat:40.2328828, lon:29.0090408, alt:2.89, spd:0.080, btr:41, hea:269, mod:GUIDED, arm:Armed
12:28:22 -> lat:40.2328828, lon:29.0090408, alt:2.89, spd:0.050, btr:41, hea:270, mod:GUIDED, arm:Armed
12:28:22 -> lat:40.2328828, lon:29.0090408, alt:2.89, spd:0.020, btr:41, hea:271, mod:GUIDED, arm:Armed
12:28:23 -> lat:40.232883, lon:29.0090406, alt:2.84, spd:0.030, btr:41, hea:273, mod:GUIDED, arm:Armed
12:28:23 -> lat:40.232883, lon:29.0090406, alt:2.84, spd:0.070, btr:41, hea:272, mod:GUIDED, arm:Armed
12:28:24 -> lat:40.2328834, lon:29.0090404, alt:2.79, spd:0.070, btr:41, hea:272, mod:GUIDED, arm:Armed
12:28:24 -> lat:40.2328834, lon:29.0090404, alt:2.79, spd:0.080, btr:41, hea:270, mod:GUIDED, arm:Armed
12:28:25 -> lat:40.2328838, lon:29.0090402, alt:2.74, spd:0.080, btr:41, hea:268, mod:GUIDED, arm:Armed
12:28:25 -> lat:40.2328838, lon:29.0090402, alt:2.74, spd:0.070, btr:41, hea:266, mod:GUIDED, arm:Armed
12:28:26 -> lat:40.2328838, lon:29.0090402, alt:2.74, spd:0.060, btr:41, hea:265, mod:GUIDED, arm:Armed
12:28:26 -> lat:40.2328841, lon:29.0090401, alt:2.68, spd:0.020, btr:41, hea:263, mod:GUIDED, arm:Armed
12:28:27 -> lat:40.2328841, lon:29.0090402, alt:2.63, spd:0.040, btr:41, hea:262, mod:GUIDED, arm:Armed
12:28:27 -> lat:40.2328841, lon:29.0090402, alt:2.63, spd:0.060, btr:41, hea:262, mod:GUIDED, arm:Armed
12:28:28 -> lat:40.2328838, lon:29.0090402, alt:2.59, spd:0.090, btr:40, hea:262, mod:GUIDED, arm:Armed
12:28:28 -> lat:40.2328833, lon:29.0090402, alt:2.54, spd:0.120, btr:40, hea:263, mod:GUIDED, arm:Armed
